,time,rank,score
445,2022/1/8 02:51,1,36700
446,2022/1/8 02:35,3,27200
447,2022/1/8 02:03,2,37000
448,2022/1/8 01:02,4,3900
449,2022/1/7 23:35,4,19600
450,2022/1/7 22:55,1,36300
451,2022/1/7 22:21,3,10700
452,2022/1/7 21:51,4,-4800
453,2022/1/7 17:40,3,21600
454,2022/1/7 17:12,3,22500
455,2022/1/7 16:37,1,45500
456,2022/1/7 16:04,4,14800
457,2022/1/7 13:58,3,29100
458,2022/1/7 13:21,4,7300
459,2022/1/7 01:32,1,61800
460,2022/1/7 00:52,2,33100
461,2022/1/6 01:45,2,39300
462,2022/1/6 00:44,2,32300
463,2022/1/6 00:12,2,29700
464,2022/1/5 23:19,1,34600
465,2022/1/5 01:59,1,31100
466,2022/1/5 01:08,4,16200
467,2022/1/4 01:27,3,21600
468,2022/1/4 01:03,4,-400
469,2022/1/4 00:04,3,20000
470,2022/1/3 02:38,3,17300
471,2022/1/3 02:04,1,36500
472,2022/1/3 01:34,2,35800
473,2022/1/3 00:33,3,24600
474,2022/1/3 00:09,4,-2300
475,2022/1/2 23:35,2,29400
476,2022/1/2 23:01,4,17400
477,2022/1/2 17:42,1,50700
478,2022/1/2 16:46,2,25100
479,2022/1/2 16:00,1,36700
480,2022/1/2 15:21,3,21500
481,2022/1/2 14:45,2,43200
482,2022/1/2 13:33,4,9100
483,2022/1/2 00:16,3,11500
484,2022/1/1 23:39,4,-5400
485,2022/1/1 22:58,3,16900
486,2022/1/1 22:29,3,25000
487,2022/1/1 19:18,3,18600
488,2022/1/1 18:41,3,15200
489,2022/1/1 17:51,2,33100
490,2022/1/1 16:28,1,44600
491,2022/1/1 16:13,2,37600
492,2022/1/1 15:41,3,23100
493,2022/1/1 14:32,4,9100
494,2022/1/1 13:57,3,17200
495,2022/1/1 12:30,1,38800
496,2022/1/1 11:42,1,36300
497,2022/1/1 01:21,1,37200
498,2022/1/1 00:38,3,18700
499,2022/1/1 00:16,2,33000
500,2021/12/31 22:07,1,37200
501,2021/12/31 21:39,2,34300
502,2021/12/31 20:59,1,37700
503,2021/12/31 20:42,2,34500
504,2021/12/31 19:11,1,35800
505,2021/12/31 18:40,1,33900
506,2021/12/31 18:09,2,31900
507,2021/12/31 17:23,2,31700
508,2021/12/31 16:29,3,17500
509,2021/12/31 15:59,3,15200
510,2021/12/31 15:12,3,20700
511,2021/12/31 14:36,4,14500
512,2021/12/31 14:11,2,37600
513,2021/12/31 13:32,4,4700
514,2021/12/31 12:57,4,12500
515,2021/12/31 12:19,4,8000
516,2021/12/31 01:36,4,12100
517,2021/12/31 00:57,1,33800
518,2021/12/31 00:26,2,37800
519,2021/12/30 23:48,1,35700
520,2021/12/30 22:13,2,25600
521,2021/12/30 21:20,1,50400
522,2021/12/30 20:31,3,22100
523,2021/12/30 20:02,4,20300
524,2021/12/30 19:40,4,19400
525,2021/12/30 19:05,3,26600
526,2021/12/30 18:54,2,30200
527,2021/12/30 18:11,4,-5700
528,2021/12/30 17:37,3,12500
529,2021/12/30 17:03,2,37700
530,2021/12/30 16:36,3,16100
531,2021/12/30 15:31,3,22400
532,2021/12/30 14:53,2,30400
533,2021/12/30 14:19,3,16100
534,2021/12/30 13:34,2,24000
535,2021/12/30 05:13,3,21700
536,2021/12/30 04:41,4,-500
537,2021/12/30 03:48,2,28000
538,2021/12/30 03:21,3,21300
539,2021/12/30 02:31,3,17500
540,2021/12/30 02:03,3,20500
541,2021/12/30 01:09,2,25600
542,2021/12/30 00:36,4,16800
543,2021/12/29 23:23,1,35100
544,2021/12/29 22:53,2,27800
545,2021/12/29 22:19,1,45300
546,2021/12/29 21:31,1,46300
547,2021/12/29 20:48,4,5800
548,2021/12/29 20:15,3,23900
549,2021/12/29 02:30,1,36400
550,2021/12/29 01:54,3,16800
551,2021/12/29 01:15,4,10800
552,2021/12/29 00:24,1,65200
553,2021/12/28 23:41,3,24200
554,2021/12/28 23:06,1,38200
555,2021/12/28 17:55,1,53700
556,2021/12/28 16:44,1,34500
557,2021/12/28 16:07,4,12500
558,2021/12/28 15:34,3,23200
559,2021/12/28 14:42,1,55300
560,2021/12/28 01:51,1,60600
561,2021/12/28 01:10,4,-3000
562,2021/12/28 00:51,2,38400
563,2021/12/28 00:20,4,18300
564,2021/12/27 23:22,4,9000
565,2021/12/27 22:50,4,1500
566,2021/12/27 01:27,1,40800
567,2021/12/27 00:21,4,8800
568,2021/12/26 23:57,4,1400
569,2021/12/26 22:58,1,43500
570,2021/12/26 22:08,2,14600
571,2021/12/26 21:18,2,30400
572,2021/12/26 20:32,1,45800
573,2021/12/26 20:07,4,14400
574,2021/12/26 19:24,2,29200
575,2021/12/26 15:11,1,51500
576,2021/12/26 14:45,1,50000
577,2021/12/26 13:31,1,34900
578,2021/12/26 13:09,4,-500
579,2021/12/26 12:58,2,33000
580,2021/12/26 12:09,4,1300
581,2021/12/26 11:39,2,26100
582,2021/12/26 02:33,3,27400
583,2021/12/26 01:55,4,14400
584,2021/12/26 01:21,4,15700
585,2021/12/26 00:45,2,38300
586,2021/12/26 00:21,4,-900
587,2021/12/25 23:34,3,22700
588,2021/12/25 22:21,1,41600
589,2021/12/25 21:41,1,39800
590,2021/12/25 20:51,4,-2100
591,2021/12/25 15:21,1,31500
592,2021/12/25 14:49,4,16000
593,2021/12/25 14:08,4,200
594,2021/12/25 13:37,2,31600
595,2021/12/25 12:08,3,25000
596,2021/12/25 11:33,2,25200
597,2021/12/25 11:03,2,21900
598,2021/12/25 02:04,3,21500
599,2021/12/25 01:02,2,28800
600,2021/12/25 00:11,1,59900
601,2021/12/24 23:27,4,13500
602,2021/12/24 22:57,4,3200
603,2021/12/24 22:20,3,22000
604,2021/12/23 22:38,2,20600
605,2021/12/23 01:40,1,48700
606,2021/12/23 00:52,2,33400
607,2021/12/22 23:53,1,45400
608,2021/12/22 01:13,3,20000
609,2021/12/21 23:18,1,32500
610,2021/12/21 22:16,1,37200
611,2021/12/21 17:18,2,29000
612,2021/12/21 15:20,1,71700
613,2021/12/21 14:34,1,31500
614,2021/12/20 01:07,2,27100
615,2021/12/20 00:07,4,11200
616,2021/12/19 23:42,4,-3000
617,2021/12/19 22:56,4,8400
618,2021/12/19 22:21,4,10900
619,2021/12/19 21:41,4,10600
620,2021/12/15 21:19,1,39800
621,2021/12/15 20:56,1,46800
622,2021/12/15 02:12,3,16700
623,2021/12/14 15:15,4,16000
624,2021/12/14 13:06,2,36000
625,2021/12/14 01:46,2,26300
626,2021/12/14 01:13,2,33100
627,2021/12/14 00:31,2,36600
628,2021/12/14 00:07,2,35200
629,2021/12/13 23:28,4,1000
630,2021/12/13 22:45,2,30500
631,2021/12/13 00:49,1,46800
632,2021/12/13 00:25,3,10000
633,2021/12/12 23:55,3,20900
634,2021/12/12 23:04,2,29300
635,2021/12/12 22:51,2,33400
636,2021/12/12 22:18,4,9800
637,2021/12/12 21:30,4,12000
638,2021/12/12 20:46,2,34500
639,2021/12/12 20:08,2,26100
640,2021/12/12 19:39,2,34600
641,2021/12/12 18:34,3,19600
642,2021/12/12 15:23,3,24900
643,2021/12/12 14:45,2,37300
644,2021/12/12 14:04,3,16100
645,2021/12/12 13:19,4,-2400
646,2021/12/12 01:50,3,28600
647,2021/12/12 00:44,3,21500
648,2021/12/11 23:47,3,17000
649,2021/12/11 19:33,1,41200
650,2021/12/11 18:57,4,9100
651,2021/12/11 18:15,2,30600
652,2021/12/11 17:47,2,34800
653,2021/12/11 17:15,4,4400
654,2021/12/11 16:05,1,38400
655,2021/12/11 01:04,2,34700
656,2021/12/10 23:44,1,36200
657,2021/12/10 23:00,1,36800
658,2021/12/10 22:26,3,23500
659,2021/12/9 23:30,1,35700
660,2021/12/9 22:48,2,38600
661,2021/12/9 00:10,3,16700
662,2021/12/8 23:22,4,9000
663,2021/12/8 22:32,3,25000
664,2021/12/8 22:03,4,7400
665,2021/12/8 01:39,1,40700
666,2021/12/8 00:47,2,38200
667,2021/12/7 23:57,2,30100
668,2021/12/7 23:38,2,19600
669,2021/12/7 22:56,4,11300
670,2021/12/7 22:22,2,28800
671,2021/12/7 14:49,2,24700
672,2021/12/7 14:16,1,32300
673,2021/12/6 01:18,3,14500
674,2021/12/6 00:38,2,36200
675,2021/12/5 23:46,1,36000
676,2021/12/5 23:17,4,9200
677,2021/12/5 17:42,3,18300
678,2021/12/5 16:55,2,26200
679,2021/12/5 16:28,4,20000
680,2021/12/5 15:04,2,27200
681,2021/12/5 13:58,3,9500
682,2021/12/4 21:25,2,26200
683,2021/12/4 20:53,1,49400
684,2021/12/4 01:04,1,54600
685,2021/12/4 00:30,3,19300
686,2021/12/3 23:44,2,29500
687,2021/12/3 22:55,2,24400
688,2021/12/3 22:31,1,51400
689,2021/12/3 17:26,1,48500
690,2021/12/3 17:07,3,10200
691,2021/12/3 14:33,1,33200
692,2021/12/3 13:54,2,24900
693,2021/12/3 01:44,3,18600
694,2021/12/3 00:56,3,12000
695,2021/12/3 00:26,2,22100
696,2021/12/2 23:47,4,10700
697,2021/12/2 22:53,3,23200
698,2021/12/2 01:57,1,43400
699,2021/12/2 00:47,2,32200
700,2021/12/2 00:37,3,33000
701,2021/12/1 23:47,4,20200
702,2021/12/1 23:14,1,46600
703,2021/12/1 22:38,3,23000
704,2021/12/1 01:42,1,40200
705,2021/12/1 01:10,2,40700
706,2021/12/1 00:29,2,40600
707,2021/11/30 23:43,4,18500
708,2021/11/30 23:08,1,38000
709,2021/11/30 22:27,2,26500
710,2021/11/30 15:14,3,14000
711,2021/11/30 14:39,2,31700
712,2021/11/30 13:05,1,43700
713,2021/11/30 01:30,1,57700
714,2021/11/30 00:41,2,31300
715,2021/11/30 00:11,2,28800
716,2021/11/29 23:13,2,28800
717,2021/11/29 22:30,3,21600
718,2021/11/29 01:19,1,50000
719,2021/11/29 00:23,2,37500
720,2021/11/28 23:53,2,36600
721,2021/11/28 22:59,2,30800
722,2021/11/28 22:21,4,15600
723,2021/11/28 21:41,4,11100
724,2021/11/28 16:41,2,26200
725,2021/11/28 15:47,1,42600
726,2021/11/28 14:21,1,34700
727,2021/11/28 13:48,2,38900
728,2021/11/28 01:58,4,9600
729,2021/11/28 01:26,4,16100
730,2021/11/28 00:35,2,30700
731,2021/11/27 23:46,4,6800
732,2021/11/27 21:44,3,22900
733,2021/11/27 20:50,4,7700
734,2021/11/27 19:57,3,25200
735,2021/11/27 17:09,1,32200
736,2021/11/27 16:39,1,35400
737,2021/11/27 15:14,3,24900
738,2021/11/27 14:37,3,20300
739,2021/11/27 00:28,3,26300
740,2021/11/27 00:05,3,23200
741,2021/11/26 23:37,4,8200
742,2021/11/26 17:28,4,1100
743,2021/11/26 16:43,2,43500
744,2021/11/26 16:28,3,29900
745,2021/11/26 15:01,1,46900
746,2021/11/26 01:21,3,12800
747,2021/11/26 00:29,2,40400
748,2021/11/25 23:44,1,44400
749,2021/11/25 23:14,3,22300
750,2021/11/25 22:40,4,17100
751,2021/11/25 22:31,2,23000
752,2021/11/24 23:47,3,27400
753,2021/11/24 22:56,4,5600
754,2021/11/24 22:21,1,38900
755,2021/11/24 00:32,3,18000
756,2021/11/23 23:44,3,17500
757,2021/11/23 01:20,2,28200
758,2021/11/23 00:47,3,13800
759,2021/11/23 00:13,3,23200
760,2021/11/22 23:39,3,15300
761,2021/11/22 23:21,2,33000
762,2021/11/22 22:50,2,28700
763,2021/11/22 00:42,4,7600
764,2021/11/22 00:23,1,56300
765,2021/11/21 22:38,4,5700
766,2021/11/21 21:47,2,27200
767,2021/11/21 17:54,2,27100
768,2021/11/21 15:42,4,17300
769,2021/11/21 15:24,1,47700
770,2021/11/21 14:53,4,22000
771,2021/11/21 13:39,1,38600
772,2021/11/21 12:29,1,48100
773,2021/11/20 23:19,1,36200
